Cijena,Kilometraza,Zapremina_motora,Snaga_motora,Registrovan,Godina,Brand_enc,Model_enc,Tip_enc,Gorivo_enc
13700.0,188001.0,2.0,130.0,0,2008.0,2,36,4,1
29999.0,130000.0,2.2,125.0,1,2013.0,30,148,4,1
9000.0,300000.0,1.7,92.0,1,2010.0,33,617,6,1
16100.0,287600.0,1.6,77.0,1,2013.0,48,425,4,1
24999.0,145000.0,2.0,110.0,0,2008.0,2,615,1,0
17990.0,138764.0,2.0,85.0,0,2012.0,2,5,4,1
10500.0,300000.0,2.0,103.0,1,2006.0,14,491,6,1
36820.0,300000.0,2.0,140.0,1,2015.0,1,101,4,1
20900.0,226746.0,2.2,88.0,1,2011.0,30,146,4,1
5900.0,310000.0,1.4,55.0,1,2002.0,45,328,2,0
38000.0,260000.0,3.0,180.0,1,2014.0,1,100,4,1
10900.0,197000.0,2.7,160.0,1,2007.0,20,492,4,1
16800.0,319000.0,2.0,105.0,1,2009.0,1,98,4,1
11400.0,225000.0,1.7,81.0,1,2010.0,33,617,6,1
8800.0,310000.0,1.9,77.0,1,2008.0,39,115,4,1
3400.0,234000.0,2.2,108.0,1,2002.0,33,577,4,4
29999.0,135000.0,2.0,55.0,1,1992.0,30,10,4,1
3300.0,220000.0,1.9,83.0,1,2005.0,36,510,6,1
39500.0,180000.0,3.0,180.0,1,2011.0,25,477,10,1
18500.0,220000.0,1.6,85.0,1,2014.0,6,169,6,1
53000.0,80000.0,2.0,140.0,1,2015.0,45,441,4,1
40900.0,145000.0,2.0,132.0,1,2012.0,45,536,3,1
32900.0,250000.0,2.0,120.0,1,2011.0,2,63,4,1
16500.0,170000.0,1.6,65.0,1,2014.0,34,32,4,1
18500.0,331000.0,2.7,140.0,1,2010.0,1,101,4,1
15900.0,176648.0,1.6,97.0,1,2011.0,17,578,8,0
21500.0,120000.0,1.8,132.0,1,2016.0,48,425,4,0
11450.0,160000.0,1.2,60.0,1,2017.0,34,29,4,0
17499.0,287000.0,2.0,85.0,1,2013.0,2,36,4,1
25900.0,199479.0,3.6,191.0,0,2011.0,48,526,4,0
19880.0,230000.0,4.0,157.0,1,2007.0,14,282,12,4
2100.0,230000.0,1.4,66.0,1,1998.0,33,124,2,0
15800.0,1300.0,2.0,66.0,1,2012.0,13,257,4,1
5000.0,134000.0,1.9,96.0,0,2000.0,5,525,4,0
4000.0,282000.0,1.8,66.0,1,2005.0,14,291,2,1
16999.0,163000.0,2.0,105.0,1,2008.0,1,98,4,1
52000.0,230000.0,3.0,160.0,1,2015.0,1,103,4,1
14700.0,330000.0,2.5,128.0,1,2007.0,45,555,12,1
28500.0,223000.0,1.6,88.0,1,2015.0,48,526,4,1
2500.0,250000.0,1.6,78.0,1,2000.0,36,510,4,0
7150.0,344000.0,1.9,74.0,1,2003.0,45,441,4,1
5900.0,143052.0,1.4,54.0,1,2006.0,6,161,4,0
7900.0,248000.0,2.0,100.0,1,2007.0,6,334,4,1
50000.0,230000.0,2.3,132.0,1,2018.0,32,420,9,1
25300.0,229841.0,3.0,173.0,1,2007.0,2,596,4,1
39999.0,246604.0,4.0,225.0,1,2010.0,2,81,4,1
14700.0,220150.0,1.6,100.0,0,2015.0,33,351,2,1
19890.0,181436.0,1.6,115.0,1,2011.0,34,471,11,0
55000.0,231075.0,3.0,180.0,0,2013.0,35,209,12,1
27000.0,220000.0,2.0,130.0,0,2014.0,2,36,4,1
7650.0,290000.0,1.9,88.0,1,2008.0,13,241,4,1
5800.0,278600.0,1.6,80.0,1,2006.0,34,31,2,1
14900.0,201000.0,1.6,82.0,1,2011.0,34,57,6,1
33000.0,156000.0,3.0,185.0,1,2012.0,1,201,4,1
49000.0,55000.0,2.0,110.0,1,2020.0,2,34,4,1
11500.0,261000.0,1.7,81.0,0,2010.0,33,124,4,1
19900.0,370420.0,2.2,120.0,1,2010.0,30,261,4,1
43500.0,173009.0,1.5,96.0,0,2018.0,34,61,4,1
21000.0,220200.0,2.7,120.0,0,2010.0,1,101,4,1
3300.0,170000.0,1.2,55.0,1,2004.0,36,565,5,0
8950.0,300000.0,2.0,80.0,1,2006.0,30,130,4,1
30000.0,229000.0,2.0,135.0,1,2014.0,2,36,4,1
18990.0,300000.0,2.2,88.0,0,2011.0,30,148,4,1
11500.0,290000.0,2.2,74.0,1,2009.0,33,407,2,1
10000.0,251000.0,2.0,103.0,1,2006.0,1,98,2,1
61000.0,230000.0,3.0,190.0,1,2014.0,2,596,12,1
21600.0,305000.0,1.8,80.0,1,2015.0,30,130,4,1
33500.0,170000.0,2.0,135.0,1,2013.0,2,36,4,1
19200.0,244000.0,1.6,77.0,1,2013.0,45,441,4,1
22500.0,280000.0,2.0,105.0,1,2011.0,1,100,11,1
25000.0,317000.0,5.0,225.0,1,2006.0,30,399,4,4
50900.0,193000.0,3.0,200.0,0,2015.0,1,101,4,1
51990.0,201000.0,3.0,179.0,1,2014.0,1,104,4,1
19000.0,270000.0,1.6,80.0,1,2016.0,6,168,5,1
64000.0,120000.0,2.0,143.0,1,2017.0,30,261,4,1
6800.0,300000.0,2.0,103.0,1,2006.0,45,441,2,1
22800.0,205150.0,3.0,176.0,0,2010.0,1,101,4,1
5300.0,248000.0,1.9,66.0,1,2005.0,45,328,5,1
30999.0,210000.0,2.0,110.0,1,2014.0,25,476,12,1
14990.0,259000.0,2.0,100.0,1,2008.0,1,98,4,1
68000.0,195000.0,3.6,220.0,1,2011.0,35,437,11,0
20900.0,177400.0,1.6,81.0,0,2018.0,33,124,2,1
1950.0,123456.0,1.9,50.0,1,1992.0,45,441,4,1
30900.0,233103.0,2.0,103.0,1,2013.0,45,550,10,1
36990.0,160000.0,1.6,90.0,1,2016.0,36,362,10,1
26000.0,376000.0,3.0,170.0,1,2008.0,1,462,10,1
11000.0,300425.0,1.9,77.0,1,2009.0,48,425,2,1
9500.0,222058.0,1.6,82.0,0,2010.0,34,32,2,1
32200.0,269000.0,1.6,85.0,0,2015.0,30,146,4,1
35600.0,148213.0,2.0,100.0,0,2018.0,30,131,4,1
25850.0,110024.0,1.5,85.0,0,2019.0,36,403,2,1
10950.0,175662.0,1.6,55.0,0,2015.0,6,161,5,1
9499.0,190000.0,1.2,55.0,0,2010.0,48,285,4,1
10500.0,300000.0,1.8,118.0,1,2011.0,48,425,2,0
22990.0,162141.0,1.6,88.0,0,2016.0,34,11,6,1
64900.0,150138.0,2.2,125.0,1,2017.0,30,311,12,1
29900.0,260000.0,1.4,81.0,1,2016.0,45,328,4,4
13100.0,250000.0,1.6,68.0,1,2014.0,6,166,4,1
7500.0,275000.0,4.7,164.0,0,1999.0,21,335,4,4
34990.0,261659.0,2.2,125.0,0,2016.0,30,148,4,1
31990.0,109553.0,2.7,92.0,0,2002.0,32,547,12,1
62000.0,165000.0,2.0,140.0,1,2018.0,1,460,10,1
54990.0,167746.0,2.0,110.0,0,2018.0,45,551,10,1
17900.0,320744.0,1.6,77.0,1,2015.0,45,441,2,1
8200.0,235000.0,1.8,118.0,1,2009.0,48,425,2,0
19900.0,225000.0,2.0,140.0,1,2010.0,2,63,2,1
13900.0,233757.0,1.6,66.0,1,2013.0,48,285,2,1
9950.0,220000.0,0.9,48.0,0,2013.0,13,438,4,0
15500.0,275000.0,1.6,77.0,1,2012.0,45,441,2,1
21900.0,192940.0,1.6,81.0,1,2015.0,45,328,2,1
27000.0,236500.0,2.0,103.0,1,2012.0,45,515,6,1
29500.0,4100.0,1.2,60.0,0,2019.0,40,292,4,2
