Brand,Model,Cijena,Kilometraza,Zapremina_motora,Snaga_motora,Tip,Registrovan,Godina,Gorivo
Fiat,Croma,3000.0,,,,,0,,
BMW,320,13700.0,188001.0,2.0,130.0,,false,2008.0,Dizel
Mercedes-Benz,B 160,6300.0,4600643.0,2.7,160.0,,true,2003.0,Dizel
Mercedes-Benz,C 220,29999.0,130000.0,2.2,125.0,Limuzina,true,2013.0,Dizel
Opel,Zafira,9000.0,300000.0,1.7,92.0,Monovolumen,true,2010.0,Dizel
Mercedes-Benz,E 200,16000.0,510000.0,2.2,100.0,Limuzina,true,2010.0,Dizel
Škoda,Octavia,16100.0,287600.0,1.6,77.0,,true,2013.0,Dizel
BMW,Z4,24999.0,145000.0,2.0,110.0,Kabriolet,false,2008.0,Benzin
Mercedes-Benz,SLS AMG,450000.0,106126.0,6.2,420.0,Sportski/kupe,true,2010.0,Benzin
BMW,116,17990.0,138764.0,2.0,85.0,Limuzina,false,2012.0,Dizel
Mercedes-Benz,E 280,18900.0,205500.0,3.0,,Limuzina,true,2006.0,Dizel
Ford,S-Max,10500.0,300000.0,2.0,103.0,Monovolumen,true,2006.0,Dizel
Audi,A6,36820.0,300000.0,2.0,140.0,,true,2015.0,Dizel
Mercedes-Benz,C 180,20900.0,226746.0,2.2,88.0,Limuzina,true,2011.0,Dizel
Volkswagen,Golf,5900.0,310000.0,1.4,55.0,Karavan,true,2002.0,Benzin
Audi,A5,38000.0,260000.0,3.0,180.0,Limuzina,true,2014.0,Dizel
Jaguar,S-Type,10900.0,197000.0,2.7,160.0,,true,2007.0,Dizel
Audi,A4,16800.0,319000.0,2.0,105.0,,true,2009.0,Dizel
Opel,Zafira,11400.0,225000.0,1.7,81.0,Monovolumen,true,2010.0,Dizel
Seat,Altea,8800.0,310000.0,1.9,77.0,Limuzina,true,2008.0,Dizel
Opel,Vectra,3400.0,234000.0,2.2,108.0,Limuzina,true,2002.0,Plin
Mercedes-Benz,200,29999.0,135000.0,2.0,55.0,Limuzina,true,1992.0,Dizel
Renault,Scenic,3300.0,220000.0,1.9,83.0,Monovolumen,true,2005.0,Dizel
Land Rover,Range Rover Sport,39500.0,180000.0,3.0,180.0,SUV,true,2011.0,Dizel
Citroen,C4 Picasso,18500.0,220000.0,1.6,85.0,Monovolumen,true,2014.0,Dizel
Volkswagen,Passat,53000.0,80000.0,2.0,140.0,Limuzina,true,2015.0,Dizel
Volkswagen,T6 Caravelle,40900.0,145000.0,2.0,132.0,Kombi,true,2012.0,Dizel
BMW,520,32900.0,250000.0,2.0,120.0,Limuzina,true,2011.0,Dizel
Lada,Drugi,4500.0,200000.0,1.5,55.0,,0,1980.0,Benzin
BMW,2002,30000.0,88000.0,1.6,63.0,,0,1974.0,Benzin
Peugeot,308,16500.0,170000.0,1.6,65.0,Limuzina,true,2014.0,Dizel
Audi,A6,18500.0,331000.0,2.7,140.0,Limuzina,true,2010.0,Dizel
Hyundai,Veloster,15900.0,176648.0,1.6,97.0,Ostalo,true,2011.0,Benzin
Škoda,Octavia,21500.0,120000.0,1.8,132.0,Limuzina,true,2016.0,Benzin
Peugeot,301,11450.0,160000.0,1.2,60.0,Limuzina,true,2017.0,Benzin
BMW,320,17499.0,287000.0,2.0,85.0,,true,2013.0,Dizel
Škoda,Superb,25900.0,199479.0,3.6,191.0,Limuzina,0,2011.0,Benzin
Ford,Explorer,19880.0,230000.0,4.0,157.0,Terenac,true,2007.0,Plin
Opel,Astra,2100.0,230000.0,1.4,66.0,Karavan,true,1998.0,Benzin
Fiat,Ducato,15800.0,1300.0,2.0,66.0,,true,2012.0,Dizel
Chrysler,Stratus,5000.0,134000.0,1.9,96.0,Limuzina,0,2000.0,Benzin
Ford,Focus,4000.0,282000.0,1.8,66.0,Karavan,true,2005.0,Dizel
Audi,A4,16999.0,163000.0,2.0,105.0,Limuzina,true,2008.0,Dizel
Audi,A7,52000.0,230000.0,3.0,160.0,Limuzina,true,2015.0,Dizel
Volkswagen,Touareg,14700.0,330000.0,2.5,128.0,Terenac,true,2007.0,Dizel
Škoda,Superb,28500.0,223000.0,1.6,88.0,Limuzina,true,2015.0,Dizel
Renault,Scenic,2500.0,250000.0,1.6,78.0,,true,2000.0,Benzin
Volkswagen,Passat,7150.0,344000.0,1.9,74.0,Limuzina,true,2003.0,Dizel
Citroen,C3,5900.0,143052.0,1.4,54.0,Limuzina,true,2006.0,Benzin
Citroen,Grand C4 Picasso / C4 SpaceTourer,7900.0,248000.0,2.0,100.0,Limuzina,true,2007.0,Dizel
Nissan,Navara,50000.0,230000.0,2.3,132.0,Pick up,true,2018.0,Dizel
Mercedes-Benz,E 63 AMG,179900.0,13880.0,4.0,450.0,Limuzina,true,2019.0,Benzin
Mercedes-Benz,E 220,12500.0,440000.0,2.2,110.0,Limuzina,true,2003.0,Dizel
BMW,X5,25300.0,229841.0,3.0,173.0,,true,2007.0,Dizel
BMW,740,39999.0,246604.0,4.0,225.0,Limuzina,true,2010.0,Dizel
Opel,Insignia,14700.0,220150.0,1.6,100.0,Karavan,0,2015.0,Dizel
Peugeot,RCZ,19890.0,181436.0,1.6,115.0,Sportski/kupe,true,2011.0,Benzin
Porsche,Cayenne,55000.0,231075.0,3.0,180.0,Terenac,false,2013.0,Dizel
BMW,320,27000.0,220000.0,2.0,130.0,Limuzina,0,2014.0,Dizel
Volkswagen,Golf,1800.0,333333.0,1.6,40.0,,0,1988.0,Dizel
Fiat,Croma,7650.0,290000.0,1.9,88.0,,true,2008.0,Dizel
Peugeot,307,5800.0,278600.0,1.6,80.0,Karavan,true,2006.0,Dizel
